label	volume	bbox_volume	sphericity	surface_area	convex_volume	num_pixels	area	area_bbox	area_convex	equivalent_diameter_area	euler_number	extent	feret_diameter_max	area_filled	axis_major_length	axis_minor_length	solidity
52	1707.0	4760	0.7724458348364364	894.207763671875	2269.0	1707	1707.0	4760.0	2269.0	14.827853946439857	1	0.35861344537815126	23.194827009486403	1707.0	19.615627621361387	11.083238457037032	0.752313794623182
53	4309.0	11475	0.7253822382340976	1765.366455078125	5729.0	4309	4309.0	11475.0	5729.0	20.189518299402696	1	0.3755119825708061	29.563490998188964	4309.0	27.078561528026132	15.706739364520022	0.7521382440216443
54	13022.0	62125	0.6844153756343068	3910.955078125	20824.0	13022	13022.0	62125.0	20824.0	29.189479863912222	1	0.20960965794768613	71.85401867675878	13022.0	58.8916223449673	23.030962539216553	0.6253361505954668
55	747.0	1980	0.7275928731399319	547.19580078125	1093.0	747	747.0	1980.0	1093.0	11.257466411162572	1	0.37727272727272726	24.351591323771842	747.0	25.386547535417055	4.6038992716584115	0.6834400731930467
56	67324.0	213194	0.7123512608482363	11234.9169921875	101720.0	67324	67324.0	213194.0	101720.0	50.47276493283283	1	0.31578749871009504	80.92589202474076	67324.0	70.93900546042855	45.657580255626996	0.6618560755013764
57	24509.0	74200	0.7117348118415617	5733.013671875	35283.0	24509	24509.0	74200.0	35283.0	36.039242701532515	1	0.3303099730458221	65.98484674529449	24509.0	54.60950369258722	27.41934171322548	0.6946404784173681
58	134958.0	437184	0.7500594437064931	16963.7109375	191907.0	134958	134958.0	437184.0	191907.0	63.640463955836935	-1	0.3086983970136144	106.97195894251914	134958.0	92.65351902832523	44.637338581968315	0.7032468852100237
59	332.0	1176	0.6483577100022344	357.625244140625	484.0	332	332.0	1176.0	484.0	8.59105475728236	1	0.282312925170068	15.033296378372908	332.0	15.006217121828781	5.964973992889285	0.6859504132231405
60	4030.0	9200	0.7986533869868522	1533.4248046875	5991.0	4030	4030.0	9200.0	5991.0	19.74401510515595	1	0.4380434782608696	32.202484376209235	4030.0	27.11029734943761	16.442618640974583	0.6726756801869471
61	478.0	910	0.9440835300105904	313.15472412109375	565.0	478	478.0	910.0	565.0	9.700849302385112	1	0.5252747252747253	16.401219466856727	478.0	16.229588597965503	5.350586756019857	0.8460176991150442
62	242.0	440	1.0259474936464401	183.04978942871094	290.0	242	242.0	440.0	290.0	7.731651102653187	1	0.55	12.569805089976535	242.0	10.74036951607666	5.360782719478242	0.8344827586206897
63	434.0	1254	0.7123137760856952	389.169921875	574.0	434	434.0	1254.0	574.0	9.393563360321211	1	0.34609250398724084	19.339079605813716	434.0	16.291677601403173	5.776030039127955	0.7560975609756098
64	89.0	192	0.84336706923074	114.30384063720703	113.0	89	89.0	192.0	113.0	5.539413623573113	1	0.4635416666666667	8.48528137423857	89.0	8.80008930322121	4.185555515000686	0.7876106194690266
65	1090372.0	4698900	0.7267003026674731	70498.2890625	1754508.0	1090372	1090372.0	4698900.0	1754508.0	127.70033094127419	0	0.23204835174189703	242.4231837098094	1090372.0	234.1632777241829	98.87492259357646	0.6214688106295326
66	121079.0	442888	0.7380870007345461	16035.744140625	187009.0	121079	121079.0	442888.0	187009.0	61.37950773239185	1	0.2733851447770091	102.82509421342633	121079.0	85.20135926850729	47.83407750271127	0.6474501227213664
67	112331.0	448512	0.6702050802269932	16798.71875	174691.0	112331	112331.0	448512.0	174691.0	59.864174882590675	0	0.2504526077340183	103.00485425454472	112331.0	95.35940609848258	44.31215105164018	0.6430268302316662
68	240995.0	1013040	0.7367014250185828	25421.3125	359155.0	240995	240995.0	1013040.0	359155.0	77.20933346917825	-4	0.2378928768854142	145.354738484853	240995.0	111.85640004278865	67.91101716450916	0.6710055547047932
69	6431.0	27216	0.5633331409551038	2968.733154296875	12005.0	6431	6431.0	27216.0	12005.0	23.07242780657372	1	0.23629482657260434	56.462376853972415	6431.0	48.46781364761807	13.244080189720684	0.5356934610578925
70	4079.0	11687	0.8404591508389887	1468.9375	6080.0	4079	4079.0	11687.0	6080.0	19.823714193081205	1	0.34902027894241466	41.12177038990418	4079.0	32.97738009610738	11.235336204316804	0.6708881578947369
71	187183.0	576828	0.7645695865667675	20697.189453125	280880.0	187183	187183.0	576828.0	280880.0	70.97236222144976	0	0.3245040115944441	122.93900926882402	187183.0	116.26363510865515	51.48225096312535	0.6664162631728853
72	50323.0	217377	0.6320033366489793	10429.794921875	87583.0	50323	50323.0	217377.0	87583.0	45.80602795232534	1	0.23150103276795614	99.25220400575496	50323.0	91.61592108137992	21.26925798299329	0.5745749745955265
73	234990.0	659571	0.6835413709834764	26941.322265625	340586.0	234990	234990.0	659571.0	340586.0	76.56264343208986	-1	0.35627703461795623	134.4953530795767	234990.0	106.12794612606666	60.768501589148194	0.6899578960967274
74	2723.0	7371	0.8539474507212877	1104.2940673828125	3504.0	2723	2723.0	7371.0	3504.0	17.325389475139303	1	0.3694207027540361	27.964262908219126	2723.0	23.729113124698237	13.724097397246098	0.7771118721461188
75	3229.0	12844	0.6582259525739147	1605.0472412109375	5361.0	3229	3229.0	12844.0	5361.0	18.338190259288385	1	0.25140143257552167	40.26164427839479	3229.0	37.835046877753584	11.550224301991825	0.6023130013057265
76	1780644.0	5470400	0.8103759981472096	87669.5859375	2400778.0	1780644	1780644.0	5470400.0	2400778.0	150.3809507112332	-7	0.3255052646972799	295.76003786853965	1780644.0	275.7155344290968	111.07704529458843	0.7416945673444192
77	37047.0	498104	0.28760051655737384	18686.580078125	180713.0	37047	37047.0	498104.0	180713.0	41.36040737820948	-1	0.07437603392062701	136.82835963352042	37047.0	144.37933751308393	38.93641006735381	0.20500462058623342
